timestamp,sales_rank,asin,category,pages,stock_message,avg_review_score,no_reviews
"2023-02-22 00:59:15",146,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6366
"2023-02-22 01:42:09",160,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5431
"2023-02-22 01:51:41",2362,B63L3OE3QA,Fiction,416,"In stock",4.2,26956
"2023-02-22 01:58:59",2,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,773
"2023-02-22 02:36:02",14416,B1QLGDCPTN,Fiction,384,"In stock",4.2,13335
"2023-02-22 03:50:23",9,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7143
"2023-02-22 03:50:34",76,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2267
"2023-02-22 04:45:38",172,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8180
"2023-02-22 05:01:08",16,BB6Y3W6PVB,Biographies,416,"In stock",4.1,51176
"2023-02-23 14:48:25",116,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6375
"2023-02-23 17:22:19",191,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5447
"2023-02-23 17:38:33",1957,B63L3OE3QA,Fiction,416,"In stock",4.2,27085
"2023-02-23 17:54:58",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,816
"2023-02-23 20:27:32",23346,B1QLGDCPTN,Fiction,384,"In stock",4.2,13374
"2023-02-23 23:56:45",72,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2278
"2023-02-23 23:56:55",12,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7166
"2023-02-24 02:24:43",136,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6378
"2023-02-24 05:04:42",173,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8193
"2023-02-24 05:20:19",214,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5447
"2023-02-24 07:30:41",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,823
"2023-02-24 10:44:14",11,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7167
"2023-02-24 10:44:15",70,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2278
"2023-02-24 13:37:00",2258,B63L3OE3QA,Fiction,416,"In stock",4.2,27146
"2023-02-24 13:52:01",168,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8215
"2023-02-25 03:39:06",132,BXOF2OQ2RV,"Self Help/Psychology",304,"In stock",4.5,6388
"2023-02-25 06:14:44",15,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7179
"2023-02-25 06:55:20",237,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5454
"2023-02-25 08:44:12",200,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8224
"2023-02-25 09:17:16",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,852
"2023-02-25 10:02:34",77,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2288
"2023-02-25 13:34:51",1754,B63L3OE3QA,Fiction,416,"In stock",4.2,27201
"2023-02-27 15:17:27",145,BXOF2OQ2RV,"Self Help/Psychology",304,Unknown,4.5,6610
"2023-02-27 15:46:46",11,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7210
"2023-02-27 16:22:01",176,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5477
"2023-02-27 16:57:23",171,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8236
"2023-02-27 17:37:48",1,BYJAK6DGLM,"Lifestyle / Family",192,"In stock",4.7,934
"2023-02-27 18:00:25",18,BB6Y3W6PVB,Biographies,416,"In stock",4.1,55619
"2023-02-27 18:05:11",42,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2299
"2023-02-27 21:23:18",6181,B1QLGDCPTN,Fiction,384,"In stock",4.2,13446
"2023-02-28 01:35:41",195,BXOF2OQ2RV,"Self Help/Psychology",304,Unknown,4.5,6613
"2023-02-28 02:00:53",12,BMGITI1Y7T,"Self Help/Psychology",368,"In stock",4.6,7210
"2023-02-28 02:30:36",183,B02OMW4YSQ,"Food and Drink",320,"In stock",4.7,5478
"2023-02-28 03:01:42",185,BUTGL9GD2C,"Food and Drink",320,"In stock",4.7,8236
"2023-02-28 03:39:28",1,BYJAK6DGLM,"Food and Drink",192,"In stock",4.7,938
"2023-02-28 04:06:12",29,BB6Y3W6PVB,Biographies,416,"In stock",4.1,55619
"2023-02-28 04:11:19",62,BQJY6LYEQ1,Tarot,192,"In stock",4.7,2299
"2023-02-28 05:43:09",1752,B63L3OE3QA,Fiction,416,"In stock",4.2,27350
"2023-02-28 06:14:53",8160,B1QLGDCPTN,Fiction,384,"In stock",4.2,13446
"2023-02-28 10:28:12",1826,B63L3OE3QA,Fiction,416,"In stock",4.2,27378
