timestamp,sales_rank,asin,category,region,pages,stockmessage,avg_review_score,no_reviews
2023-02-15 01:06:19,261.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6328
2023-02-15 02:02:54,95.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5384
2023-02-15 02:14:56,2703.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26520
2023-02-15 04:19:54,4.0,BMGITI1Y7T,Medicine & Nursing,UK,368.0,In stock.,4.6,7045
2023-02-15 02:23:02,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock,4.7,611
2023-02-15 02:58:57,6354.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13220
2023-02-15 04:20:16,63.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2230
2023-02-15 05:11:02,147.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8164
2023-02-16 04:32:25,126.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8165
2023-02-16 00:58:28,266.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6332
2023-02-16 03:41:37,7.0,BMGITI1Y7T,Medical Sciences A-Z,UK,368.0,In stock,4.6,7056
2023-02-16 03:42:09,51.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2235
2023-02-16 01:56:16,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock.,4.7,626
2023-02-16 04:45:07,6.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.1,46342
2023-02-03 01:06:54,286.0,BXOF2OQ2RV,Families & Parents,UK,304.0,In stock.,4.5,6279
2023-02-03 02:01:55,112.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5270
2023-02-03 02:22:27,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,490
2023-02-03 02:14:31,2552.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25785
2023-02-03 03:03:07,9038.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13045
2023-02-03 05:06:35,189.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8134
2023-02-03 04:10:44,14.0,BMGITI1Y7T,Medical Sciences A-Z,UK,368.0,In stock.,4.6,6960
2023-02-03 05:23:09,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,32432
2023-02-03 04:10:22,45.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2174
2023-02-18 01:04:05,330.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6341
2023-02-18 04:08:15,8.0,BMGITI1Y7T,Emotional Self Help,UK,368.0,In stock,4.6,7089
2023-02-18 04:08:14,48.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2249
2023-02-18 01:46:45,134.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock,4.7,5400
2023-02-18 01:57:33,1918.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26693
2023-02-05 00:52:47,299.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6285
2023-02-05 01:23:48,112.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5307
2023-02-05 01:36:03,1.0,BYJAK6DGLM,Barbecues,UK,192.0,In stock.,4.7,507
2023-02-05 02:55:08,42.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2184
2023-02-05 01:30:45,1642.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25909
2023-02-05 02:01:56,9412.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13079
2023-02-05 02:56:07,17.0,BMGITI1Y7T,Popular Psychology,UK,368.0,In stock.,4.6,6972
2023-02-05 03:43:51,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,34523
2023-02-05 03:33:11,154.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8138
2023-02-21 05:14:07,144.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8177
2023-02-21 04:10:11,7.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7129
2023-02-21 01:58:41,1498.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26879
2023-02-21 01:01:47,210.0,BXOF2OQ2RV,Families & Parents,UK,304.0,In stock,4.5,6358
2023-02-21 02:45:23,8554.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13325
2023-02-21 04:10:02,70.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2259
2023-02-21 01:48:00,138.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5423
2023-02-21 02:07:00,2.0,BYJAK6DGLM,Healthy Eating,UK,192.0,In stock,4.7,750
2023-02-21 05:31:17,11.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,50436
2023-02-13 01:02:13,344.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6322
2023-02-13 01:45:19,70.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5366
2023-02-13 03:42:29,69.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2218
2023-02-13 04:33:22,100.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8154
2023-02-19 04:13:36,9.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,48751
2023-02-19 02:19:13,9202.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13294
2023-02-19 01:32:19,82.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5404
2023-02-19 01:46:57,1.0,BYJAK6DGLM,Quick & Easy Meals,UK,192.0,In stock,4.7,699
2023-02-19 04:00:55,132.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8173
2023-02-19 03:18:01,8.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7101
2023-02-19 00:58:11,313.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6346
2023-02-19 03:18:12,60.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2253
2023-02-19 01:40:56,2179.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26756
2023-02-28 05:43:09,1752.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,27350
2023-02-27 21:23:18,6181.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13446
2023-02-27 15:46:46,11.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7210
2023-02-27 16:57:23,171.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8236
2023-02-27 18:05:11,42.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2299
2023-02-27 17:37:48,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock,4.7,934
2023-02-27 15:17:27,145.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,,4.5,6610
2023-02-27 16:22:01,176.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock,4.7,5477
2023-02-27 18:00:25,18.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,55619
2023-02-28 06:14:53,8160.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13446
2023-02-28 02:30:36,183.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock,4.7,5478
2023-02-28 01:35:41,195.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,,4.5,6613
2023-02-28 04:06:12,29.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,55619
2023-02-28 10:28:12,1826.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,27378
2023-02-28 04:11:19,62.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2299
2023-02-23 14:48:25,116.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6375
2023-02-23 23:56:45,72.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2278
2023-02-24 05:20:19,214.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5447
2023-02-24 07:30:41,1.0,BYJAK6DGLM,Quick & Easy Meals,UK,192.0,In stock,4.7,823
2023-02-17 00:57:33,226.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock,4.5,6336
2023-02-17 01:55:49,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock,4.7,645
2023-02-17 04:56:16,9.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,47339
2023-02-17 03:45:26,7.0,BMGITI1Y7T,Self Help Stress Management,UK,368.0,In stock,4.6,7071
2023-02-17 03:45:26,61.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2242
2023-02-17 01:37:58,102.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock,4.7,5393
2023-02-17 01:48:10,2344.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26628
2023-02-17 02:32:15,13488.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13251
2023-02-17 04:40:41,151.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8170
2023-02-18 05:07:49,168.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8171
2023-02-18 02:46:28,11291.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13277
2023-02-18 02:05:51,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock,4.7,679
2023-02-18 05:23:52,10.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,48023
2023-02-10 02:17:53,3421.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,26233
2023-02-10 02:26:57,1.0,BYJAK6DGLM,Home & Garden (Books),UK,192.0,In stock.,4.7,557
2023-02-10 04:36:05,57.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2209
2023-02-10 04:35:48,9.0,BMGITI1Y7T,General Medical Issues Guides,UK,368.0,In stock.,4.6,7009
2023-02-10 05:31:47,173.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8150
2023-02-10 05:50:39,3.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.1,40200
2023-02-10 02:03:48,125.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5345
2023-02-10 01:08:07,328.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6311
2023-02-10 03:15:42,4347.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13156
2023-02-20 02:33:07,6919.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13311
2023-02-20 01:41:51,123.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5412
2023-02-20 04:21:26,145.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8173
2023-02-20 04:36:32,11.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock,4.1,49587
2023-02-20 01:01:32,297.0,BXOF2OQ2RV,Families & Parents,UK,304.0,In stock,4.5,6353
2023-02-20 03:39:19,7.0,BMGITI1Y7T,Applied Psychotherapy,UK,368.0,In stock,4.6,7112
2023-02-20 03:39:18,70.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock,4.7,2256
2023-02-20 01:57:50,2.0,BYJAK6DGLM,Healthy Eating,UK,192.0,In stock,4.7,717
2023-02-20 01:51:05,1338.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock,4.2,26806
2023-02-04 01:43:39,96.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5286
2023-02-04 02:01:06,1.0,BYJAK6DGLM,Weight Control Nutrition,UK,192.0,In stock.,4.7,496
2023-02-04 03:37:42,14.0,BMGITI1Y7T,Popular Psychology,UK,368.0,In stock.,4.6,6964
2023-02-04 04:34:24,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,33463
2023-02-04 01:53:03,3967.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25839
2023-02-04 02:32:07,11072.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13061
2023-02-04 03:38:11,53.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2180
2023-02-04 04:21:32,233.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8136
2023-02-04 00:58:27,257.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6282
2023-02-02 03:26:32,44.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2169
2023-02-02 01:33:51,105.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5265
2023-02-02 01:43:02,2445.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25736
2023-02-02 04:13:36,177.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8132
2023-02-02 02:21:15,9987.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13029
2023-02-02 00:56:06,377.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6276
2023-02-02 03:26:12,8.0,BMGITI1Y7T,Medical Sciences A-Z,UK,368.0,In stock.,4.6,6954
2023-02-02 01:49:32,1.0,BYJAK6DGLM,Barbecues,UK,192.0,In stock.,4.7,480
2023-02-02 04:27:02,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,30918
2023-02-06 02:00:44,104.0,B02OMW4YSQ,Spirits & Cocktails,UK,320.0,In stock.,4.7,5316
2023-02-06 05:35:59,2.0,BB6Y3W6PVB,Biographies & Memoirs (Books),UK,416.0,In stock.,4.2,35882
2023-02-06 04:23:16,30.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2188
2023-02-06 02:21:20,1.0,BYJAK6DGLM,Quick & Easy Meals,UK,192.0,,4.7,521
2023-02-06 03:04:06,7540.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13093
2023-02-06 04:23:03,12.0,BMGITI1Y7T,Medical Sciences A-Z,UK,368.0,In stock.,4.6,6978
2023-02-06 05:17:46,135.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8140
2023-02-06 01:07:38,299.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6291
2023-02-06 02:13:07,2822.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25969
2023-02-01 04:34:06,254.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock.,4.7,8129
2023-02-01 01:01:35,281.0,BXOF2OQ2RV,Practical & Motivational Self Help,UK,304.0,In stock.,4.5,6269
2023-02-01 03:50:01,44.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2164
2023-02-01 01:47:19,129.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock.,4.7,5257
2023-02-01 02:05:42,1.0,BYJAK6DGLM,Quick & Easy Meals,UK,192.0,,4.8,471
2023-02-01 02:44:09,5656.0,B1QLGDCPTN,Fiction,UK,384.0,In stock.,4.2,13015
2023-02-01 03:49:25,10.0,BMGITI1Y7T,Medical Sciences A-Z,UK,368.0,In stock.,4.6,6945
2023-02-01 01:57:29,1870.0,B63L3OE3QA,Romance (Books),UK,416.0,In stock.,4.2,25679
2023-02-01 04:45:48,2.0,BB6Y3W6PVB,Women's Biographies,UK,416.0,In stock.,4.2,29644
2023-02-14 05:07:04,90.0,BUTGL9GD2C,Festive & Seasonal Dishes,UK,320.0,In stock,4.7,8159
2023-02-14 04:09:40,53.0,BQJY6LYEQ1,Tarot,UK,192.0,In stock.,4.7,2223
2023-02-14 01:00:00,254.0,BXOF2OQ2RV,Families & Parents,UK,304.0,In stock,4.5,6326
2023-02-14 02:50:07,11600.0,B1QLGDCPTN,Fiction,UK,384.0,In stock,4.2,13209
2023-02-14 01:46:04,81.0,B02OMW4YSQ,Italian Food & Drink,UK,320.0,In stock,4.7,5374
